
,index,id,name,symbol,slug,rank,is_active,first_historical_data,last_historical_data,platform,days_history,hash_symbol,hash_slug,twt_query
0,0,1,Bitcoin,BTC,bitcoin,1,1,2013-04-28 18:47:21+00:00,2022-06-27 22:49:00+00:00,,3347,#BTC,#bitcoin,BTC OR #BTC OR Bitcoin OR bitcoin OR #bitcoin
1,151,1027,Ethereum,ETH,ethereum,2,1,2015-08-07 14:49:30+00:00,2022-06-27 22:49:00+00:00,,2516,#ETH,#ethereum,ETH OR #ETH OR Ethereum OR ethereum OR #ethereum
5,1,2,Litecoin,LTC,litecoin,19,1,2013-04-28 18:47:22+00:00,2022-06-27 22:49:00+00:00,,3347,#LTC,#litecoin,LTC OR #LTC OR Litecoin OR litecoin OR #litecoin
22,2,3,Namecoin,NMC,namecoin,577,1,2013-04-28 18:47:22+00:00,2022-06-27 22:49:00+00:00,,3347,#NMC,#namecoin,NMC OR #NMC OR Namecoin OR namecoin OR #namecoin
29,4,5,Peercoin,PPC,peercoin,814,1,2013-04-28 18:47:23+00:00,2022-06-27 22:49:00+00:00,,3347,#PPC,#peercoin,PPC OR #PPC OR Peercoin OR peercoin OR #peercoin
47,6,8,Feathercoin,FTC,feathercoin,1302,1,2013-05-03 03:25:15+00:00,2022-06-27 22:49:00+00:00,,3342,#FTC,#feathercoin,FTC OR #FTC OR Feathercoin OR feathercoin OR #feathercoin

