Date,High,Low,Volume,FVX,TNX,TYX,Gtrend,Close,Ticker
2014-09-17,468.17401123046875,452.4219970703125,21056800,1.8040000200271606,2.5999999046325684,3.364000082015991,47.0,457.3340148925781,BTC-USD
2014-09-18,456.8599853515625,413.10400390625,34483200,1.840999960899353,2.628999948501587,3.3589999675750732,47.0,424.44000244140625,BTC-USD
2014-09-19,427.8349914550781,384.5320129394531,37919700,1.819000005722046,2.5869998931884766,3.2990000247955322,53.0,394.7959899902344,BTC-USD
2014-09-20,423.2959899902344,389.88299560546875,36863600,1.819000005722046,2.5869998931884766,3.2990000247955322,46.0,408.90399169921875,BTC-USD
2014-09-21,412.4259948730469,393.1809997558594,26580100,1.819000005722046,2.5869998931884766,3.2990000247955322,48.0,398.8210144042969,BTC-USD
2014-09-22,406.9159851074219,397.1300048828125,24127600,1.7860000133514404,2.565999984741211,3.2890000343322754,47.0,402.1520080566406,BTC-USD
2014-09-23,441.5570068359375,396.1969909667969,45099500,1.7610000371932983,2.5350000858306885,3.252000093460083,57.0,435.7909851074219,BTC-USD
2014-09-24,436.11199951171875,421.1319885253906,30627700,1.8009999990463257,2.569000005722046,3.2829999923706055,55.0,423.2049865722656,BTC-USD
2014-09-25,423.5199890136719,409.4679870605469,26814400,1.7630000114440918,2.510999917984009,3.2200000286102295,48.0,411.5740051269531,BTC-USD
2014-09-26,414.93798828125,400.0090026855469,21460800,1.8020000457763672,2.5350000858306885,3.2160000801086426,45.0,404.42498779296875,BTC-USD
2014-09-27,406.62298583984375,397.37200927734375,15029300,1.8020000457763672,2.5350000858306885,3.2160000801086426,40.0,399.5199890136719,BTC-USD
2014-09-28,401.0169982910156,374.3320007324219,23613300,1.8020000457763672,2.5350000858306885,3.2160000801086426,47.0,377.1809997558594,BTC-USD
2014-09-29,385.21099853515625,372.239990234375,32497700,1.7730000019073486,2.490999937057495,3.180000066757202,56.0,375.4670104980469,BTC-USD
2014-09-30,390.97698974609375,373.4429931640625,34707300,1.7799999713897705,2.507999897003174,3.2119998931884766,52.0,386.9440002441406,BTC-USD
2014-10-01,391.3789978027344,380.7799987792969,26229400,1.6829999685287476,2.4030001163482666,3.11299991607666,47.0,383.614990234375,BTC-USD
2014-10-02,385.49700927734375,372.9460144042969,21777700,1.6990000009536743,2.437999963760376,3.1530001163482666,47.0,375.0719909667969,BTC-USD
2014-10-03,377.69500732421875,357.8590087890625,30901200,1.7369999885559082,2.447000026702881,3.134000062942505,45.0,359.5119934082031,BTC-USD
2014-10-04,364.48699951171875,325.885986328125,47236500,1.7369999885559082,2.447000026702881,3.134000062942505,52.0,328.8659973144531,BTC-USD
2014-10-05,341.8009948730469,289.2959899902344,83308096,1.7369999885559082,2.447000026702881,3.134000062942505,65.0,320.510009765625,BTC-USD
2014-10-06,345.1340026855469,302.55999755859375,79011800,1.6920000314712524,2.424999952316284,3.128000020980835,66.0,330.0790100097656,BTC-USD
2014-10-07,339.24700927734375,320.48199462890625,49199900,1.6369999647140503,2.3499999046325684,3.055999994277954,59.0,336.18701171875,BTC-USD
2014-10-08,354.364013671875,327.18798828125,54736300,1.5729999542236328,2.3299999237060547,3.062000036239624,57.0,352.94000244140625,BTC-USD
2014-10-09,382.72601318359375,347.68701171875,83641104,1.5700000524520874,2.3269999027252197,3.062000036239624,57.0,365.0260009765625,BTC-USD
2014-10-10,375.0669860839844,352.9630126953125,43665700,1.559000015258789,2.306999921798706,3.0350000858306885,51.0,361.56201171875,BTC-USD
2014-10-11,367.1910095214844,355.95098876953125,13345200,1.559000015258789,2.306999921798706,3.0350000858306885,45.0,362.29901123046875,BTC-USD
2014-10-12,379.4330139160156,356.1440124511719,17552800,1.559000015258789,2.306999921798706,3.0350000858306885,45.0,378.54901123046875,BTC-USD
